Platform,Company,North America,Europe,Japan,Rest of World,Global
PS2,Sony,53.65,55.28,23.18,25.57,157.68
DS,Nintendo,57.39,52.07,33.01,12.43,154.9
GB,Nintendo,43.18,40.05,32.47,2.99,118.69
PS4,Sony,37.62,47.54,9.25,19.68,114.09
PS,Sony,40.78,31.09,21.59,9.04,102.5
Wii,Nintendo,45.51,33.88,12.77,9.48,101.64
PS3,Sony,29.42,34.99,10.47,12.53,87.41
X360,Microsoft ,49.11,25.87,1.66,9.16,85.8
GBA,Nintendo,40.39,21.31,16.96,2.85,81.51
PSP,Sony,21.41,24.41,20.01,15.26,81.09
3DS,Nintendo,25.75,21.06,24.64,4.43,75.88
NS,Nintendo,25.85,18.49,16.27,9.34,69.95
NES,Nintendo,33.49,8.3,19.35,0.77,61.91
SNES,Nintendo,22.88,8.15,17.17,0.9,49.1
XOne,Microsoft ,31.54,12.16,0.12,4.78,48.6
N64,Nintendo,20.11,6.35,5.54,0.93,32.93
GEN,Sega,16.98,8.39,3.58,0.59,29.54
Atari 2600,Atari,23.54,3.35,0,0.75,27.64
XB,Microsoft ,15.77,7.17,0.53,1.18,24.65
GC,Nintendo,12.55,4.44,4.04,0.71,21.74
PSV,Sony,2.64,5.24,5.92,2.41,16.21
WiiU,Nintendo,6.23,3.54,3.33,0.87,13.97
GG,Sega,5.4,3.23,1.78,0.21,10.62
SAT,Sega,1.83,1.12,5.8,0.07,8.82
DC,Sega,3.9,1.91,2.25,0.14,8.2
Atari 7800 ,Atari,4.3,0,0,0,4.3
PS5,Sony,1.32,0.72,0.16,0.28,2.48
XS,Microsoft ,1,0.43,0.02,0.14,1.59
